generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,api_key_disabled,api_key_name,app_name
gen-1788608351-moKqjJjw4WDVIrJwLnn7,2026-09-05 11:39:11.167,0.043409,,,,0,251148,11475,0,0,z-ai/glm-5.3-flash-20260826,BaseTen,standard,false,true,,stop,stop,102720,6107,,,OpenRouter: Chatroom
gen-1788410240-oJtvi5oGFkEzRImXuxnR,2026-09-03 04:37:19.873,0.094631,,-0.002296,,0,93315,65221,18255,14818,openai/gpt-5.6-luna-pro-20260709,OpenAI,standard,false,true,,completed,stop,210043,209898,,,OpenRouter: Chatroom
gen-1788405603-umW8Yu48PA2ltpVJNi66,2026-09-03 03:20:02.791,0.225465,,-0.002716,,0,165579,162555,79592,15093,openai/gpt-5.6-luna-pro-20260709,OpenAI,standard,false,true,,completed,stop,615117,614999,,,OpenRouter: Chatroom
gen-1788404447-tx5Xl9Pv9YlXNrhzPKiH,2026-09-03 03:00:46.993,0.229792,,-0.001559,,0,161441,165887,83830,10062,openai/gpt-5.6-luna-pro-20260709,OpenAI,standard,false,true,,completed,stop,860093,859846,,,OpenRouter: Chatroom
gen-1788357530-3ebCjqOOU9FfBBfIlZRd,2026-09-02 13:58:50.081,0,,,,0,196283,36085,36085,0,moonshotai/kimi-k3-20260715,Sail Research,standard,false,true,,,,1620127,13521,,,OpenRouter: Chatroom
gen-1788356567-mlJuky68av8Y65iBgvAk,2026-09-02 13:42:47.525,0,,,,0,196283,11964,11964,0,qwen/qwen3.8-max-20260803,Alibaba,standard,false,true,,,,328631,34836,,,OpenRouter: Chatroom
gen-1788356333-kLioZxD9bpyvVjCYQs5W,2026-09-02 13:38:53.304,0,,,,0,196283,439,439,0,qwen/qwen3.8-max-20260803,Alibaba,standard,false,true,,,,54008,43518,,,OpenRouter: Chatroom
gen-tool-1788339559-qcHBQWWBaAjNlupDq940,2026-09-02 08:59:19.726,0,,,,0,,,,,,,standard,false,false,,,,239816,,,,OpenRouter: Chatroom
gen-1788339216-FrIzgUmLUX0g1Ja32hkg,2026-09-02 08:53:36.103,0.500834,,,0.058,0,213581,2612,2408,0,qwen/qwen3.8-max-20260803,Alibaba,standard,false,true,,tool_calls,tool_calls,99579,16228,,,OpenRouter: Chatroom
gen-1788115167-iGJtVVSBl6TZWrluECoz,2026-08-30 18:39:27.412,0.417865,,-0.129949,,0,769314,133383,106292,360970,openai/gpt-5.6-luna-pro-20260709,OpenAI,standard,false,true,,completed,stop,445288,445177,,,OpenRouter: Chatroom
